"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Arma.empleada","Móvil.Agresor","Móvil.Victima","Edad","Sexo","Estado.civil","País.de.nacimiento","Clase.de.empleado","Profesión","Escolaridad","CLASE","MARCA","LINEA","MODELO","COLOR","Mes","Dia.Mes","Hora.dia"
"7307",2018-09-28,"ANTIOQUIA","ENVIGADO","Viernes","20:30:00","MESA","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",23,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","NO REPORTADA","SECUNDARIA","AUTOMOVIL","CHEVROLET","SWIFT",1993,"ROJO",9,28,20
"7309",2018-09-28,"CAUCA","BOLÍVAR","Viernes","1:00:00","SAN FRANCISCO","URBANA","VIAS PUBLICAS","SIN EMPLEO DE ARMAS","A PIE","A PIE",25,"FEMENINO","UNION LIBRE","COLOMBIA","EMPLEADO INPEC","DESCONOCIDO","TECNICO","CAMIONETA","TOYOTA","DELUXE",2011,"BLANCO",9,28,1
"7310",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","21:00:00","CALVO SUR E-4","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",64,"MASCULINO","CASADO","COLOMBIA","COMERCIANTE","DESCONOCIDO","TECNICO","CAMIONETA","TOYOTA","HILUX",1997,"BLANCO",9,28,21
"7311",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","21:00:00","RIO NEGRO NORTE E-12","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR TAXI",29,"MASCULINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","KIA","PICANTO EKOTAXI",2013,"AMARILLO",9,28,21
"7312",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","19:00:00","OLAYA E-18","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",54,"MASCULINO","UNION LIBRE","COLOMBIA","COMERCIANTE","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","SPARK",2015,"PLATA",9,28,19
"7313",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","23:00:00","CANTALEJO E-11","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",23,"FEMENINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","CAMIONETA","HONDA","CRV EX",2005,"GRIS",9,28,23
"7314",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","23:00:00","LA ESTRADITA E-10","URBANA","FRENTE A RESIDENCIAS - VIA PUBLICA","ARMA DE FUEGO","PASAJERO VEHICULO","CONDUCTOR VEHICULO",56,"MASCULINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SUPERIOR","CAMION","VOLKSWAGEN","AMAROK",2013,"BLANCO",9,28,23
"7315",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","14:00:00","EL POA E-11","URBANA","PARQUEADERO","LLAVE MAESTRA","A PIE","A PIE",57,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","AUTOMOVIL","MAZDA","ALLEGRO",2002,"ROJO",9,28,14
"7316",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","8:00:00","CIUDAD KENNEDY CENTRAL E-8","URBANA","FRENTE A COLEGIO - VIA PUBLICA","LLAVE MAESTRA","A PIE","A PIE",53,"MASCULINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","PRIMARIA","CAMIONETA","CHEVROLET","LUV D MAX",2014,"GRIS",9,28,8
"7317",2018-09-28,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes","10:30:00","RESTREPO E-15","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",64,"MASCULINO","CASADO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SUPERIOR","AUTOMOVIL","CHEVROLET","AVEO",2012,"PLATEADO",9,28,10
